"UAAXK0000","UAAXK0000_ORG","UAA","res","x","y"
2440,1900,2440,1000,4916,1844
1370,770,1370,1000,4910,1840
1510,1000,1510,1000,4911,1840
NA,NA,NA,1000,4905,1839
1870,1260,1880,1000,4915,1829
NA,NA,NA,1000,4918,1829
890,370,890,1000,4919,1829
760,580,760,1000,4919,1828
NA,NA,NA,1000,4916,1826
NA,NA,NA,1000,4915,1825
NA,NA,NA,1000,4910,1821
NA,NA,NA,1000,5660,1810
NA,NA,NA,1000,4903,1807
NA,NA,NA,1000,3559,1798
NA,NA,NA,1000,4915,1798
960,630,960,1000,4915,1797
NA,NA,NA,1000,4904,1796
NA,NA,NA,1000,4916,1792
NA,NA,NA,1000,4900,1774
NA,NA,NA,1000,5780,1771
NA,NA,NA,1000,4778,1761
NA,NA,NA,1000,2639,1758
NA,NA,NA,1000,2641,1758
NA,NA,NA,1000,4843,1746
NA,NA,NA,1000,4857,1742
NA,NA,NA,1000,4703,1727
NA,NA,NA,1000,4846,1704
NA,NA,NA,1000,5259,1703
NA,NA,NA,1000,4819,1684
0,0,0,1000,5952,1680
NA,NA,NA,1000,4708,1671
NA,NA,NA,1000,4704,1670
1510,830,1510,1000,4705,1670
NA,NA,NA,1000,4706,1670
NA,NA,NA,1000,4714,1669
NA,NA,NA,1000,4728,1667
NA,NA,NA,1000,4741,1666
NA,NA,NA,1000,4790,1659
NA,NA,NA,1000,4504,1656
NA,NA,NA,1000,4721,1656
NA,NA,NA,1000,4734,1655
NA,NA,NA,1000,4702,1654
NA,NA,NA,1000,4594,1653
3040,930,3040,1000,4737,1653
6420,1830,6420,1000,4738,1653
NA,NA,NA,1000,4739,1653
940,500,940,1000,4594,1652
NA,NA,NA,1000,4738,1652
NA,NA,NA,1000,4739,1652
NA,NA,NA,1000,4594,1651
NA,NA,NA,1000,4739,1651
5500,2290,5510,1000,4720,1648
NA,NA,NA,1000,4663,1647
NA,NA,NA,1000,4704,1647
4420,1260,4420,1000,4662,1646
NA,NA,NA,1000,4772,1646
NA,NA,NA,1000,5302,1645
NA,NA,NA,1000,4727,1644
0,0,0,1000,4588,1643
NA,NA,NA,1000,4651,1642
NA,NA,NA,1000,5562,1642
3300,880,3310,1000,4650,1641
NA,NA,NA,1000,4651,1641
NA,NA,NA,1000,4650,1640
NA,NA,NA,1000,4651,1640
NA,NA,NA,1000,4652,1640
NA,NA,NA,1000,4625,1635
NA,NA,NA,1000,4624,1633
NA,NA,NA,1000,4620,1629
3050,1080,3050,1000,4621,1629
NA,NA,NA,1000,4638,1627
NA,NA,NA,1000,4631,1625
3440,1240,3440,1000,4597,1624
NA,NA,NA,1000,4598,1624
NA,NA,NA,1000,4609,1624
NA,NA,NA,1000,4595,1623
NA,NA,NA,1000,4610,1622
NA,NA,NA,1000,4612,1622
1750,710,1750,1000,4613,1620
NA,NA,NA,1000,4622,1620
NA,NA,NA,1000,4584,1614
0,0,0,1000,5876,1600
0,0,0,1000,5877,1600
NA,NA,NA,1000,5386,1599
NA,NA,NA,1000,4790,1590
NA,NA,NA,1000,4741,1570
NA,NA,NA,1000,4771,1569
NA,NA,NA,1000,4773,1566
1780,400,1780,1000,4774,1566
1380,760,1380,1000,4775,1566
1630,730,1640,1000,4775,1565
NA,NA,NA,1000,4776,1565
NA,NA,NA,1000,4777,1565
NA,NA,NA,1000,4777,1564
NA,NA,NA,1000,4708,1562
NA,NA,NA,1000,1841,1510
NA,NA,NA,1000,3135,1458
NA,NA,NA,1000,2028,1042
NA,NA,NA,1000,1561,1019
NA,NA,NA,1000,1720,1018
NA,NA,NA,1000,1962,959
NA,NA,NA,5000,4980,5365
NA,NA,NA,5000,4960,5350
NA,NA,NA,5000,4820,5235
NA,NA,NA,5000,5075,5225
NA,NA,NA,5000,5030,5085
NA,NA,NA,5000,4655,5075
NA,NA,NA,5000,4355,4640
NA,NA,NA,5000,5380,4495
NA,NA,NA,5000,4475,4410
NA,NA,NA,5000,4585,4290
NA,NA,NA,5000,4200,4270
NA,NA,NA,5000,4820,4120
NA,NA,NA,5000,4025,4030
NA,NA,NA,5000,5100,3925
NA,NA,NA,5000,4240,3915
NA,NA,NA,5000,4235,3780
NA,NA,NA,5000,5360,3675
550,0,550,5000,4600,3665
360,0,360,5000,4605,3665
NA,NA,NA,5000,4195,3605
NA,NA,NA,5000,5135,3555
1350,500,1350,5000,5110,3535
790,420,790,5000,5115,3535
1520,460,1520,5000,5150,3535
1670,380,1670,5000,5155,3535
2250,480,2250,5000,5160,3535
1520,190,1530,5000,5165,3535
1840,700,1840,5000,5110,3530
3190,1060,3190,5000,5115,3530
1540,370,1540,5000,5150,3530
1780,300,1780,5000,5155,3530
1540,440,1540,5000,5160,3530
2610,330,2610,5000,5165,3530
1040,310,1040,5000,5110,3525
1650,640,1650,5000,5115,3525
1940,220,1950,5000,5140,3525
2370,550,2370,5000,5145,3525
2070,530,2070,5000,5150,3525
2400,500,2400,5000,5155,3525
1580,380,1580,5000,5160,3525
2070,400,2080,5000,5165,3525
2200,1190,2200,5000,5110,3520
1780,760,1780,5000,5115,3520
2770,480,2770,5000,5140,3520
2140,420,2140,5000,5145,3520
2010,210,2010,5000,5150,3520
1550,300,1550,5000,5155,3520
1720,310,1720,5000,5160,3520
710,110,720,5000,5165,3520
1340,200,1340,5000,5160,3515
1150,240,1150,5000,5165,3515
